👎 :-1:
♎ :libra:
🚈 :light_rail:
🔗 :link_symbol:
🔗 :link:
👄 :lips:
💄 :lipstick:
🔏 :lock_with_ink_pen:
🔒 :lock:
🍭 :lollipop:
➿ :loop:
😭 :loudly_crying_face:
📢 :loudspeaker:
🏩 :love_hotel:
💌 :love_letter:
🔅 :low_brightness_symbol:
🔅 :low_brightness:
Ⓜ️ :m:
🔎 :mag_right:
🔍 :mag:
🀄 :mahjong_tile_red_dragon:
🀄 :mahjong:
📪 :mailbox_closed:
📬 :mailbox_with_mail:
📭 :mailbox_with_no_mail:
📫 :mailbox:
👫 :man_and_woman_holding_hands:
👲 :man_with_gua_pi_mao:
👳 :man_with_turban:
👨 :man:
👞 :mans_shoe:
🍁 :maple_leaf:
😷 :mask:
💆 :massage:
🍖 :meat_on_bone:
⚫ :medium_black_circle:
⚪ :medium_white_circle:
📣 :mega:
🍈 :melon:
📝 :memo:
🚹 :mens_symbol:
🚹 :mens:
🤘 :metal:
🚇 :metro:
🎤 :microphone:
🔬 :microscope:
🌌 :milky_way:
🚐 :minibus:
💽 :minidisc:
📴 :mobile_phone_off:
📲 :mobile_phone_with_rightwards_arrow_at_left:
📱 :mobile_phone:
💰 :money_bag:
💸 :money_with_wings:
💰 :moneybag:
🐵 :monkey_face:
🐒 :monkey:
🚝 :monorail:
🎑 :moon_viewing_ceremony:
🌔 :moon:
🎓 :mortar_board:
🗻 :mount_fuji:
🚵 :mountain_bicyclist:
🚠 :mountain_cableway:
🚞 :mountain_railway:
🐭 :mouse_face:
🐁 :mouse:
🐭 :mouse:
🐁 :mouse2:
👄 :mouth:
🎥 :movie_camera:
🗿 :moyai:
🎶 :multiple_musical_notes:
💪 :muscle:
🍄 :mushroom:
🎹 :musical_keyboard:
🎵 :musical_note:
🎼 :musical_score:
🔇 :mute:
💅 :nail_care:
💅 :nail_polish:
📛 :name_badge:
👔 :necktie:
🆎 :negative_squared_ab:
❎ :negative_squared_cross_mark:
🅰 :negative_squared_latin_capital_letter_a:
🅱 :negative_squared_latin_capital_letter_b:
🅾 :negative_squared_latin_capital_letter_o:
🅿 :negative_squared_latin_capital_letter_p:
😐 :neutral_face:
🌑 :new_moon_symbol:
🌚 :new_moon_with_face:
🌑 :new_moon:
🆕 :new:
📰 :newspaper:
🆖 :ng:
🌃 :night_with_stars:
9️⃣ :nine:
🔕 :no_bell:
🚳 :no_bicycles:
🚫 :no_entry_sign:
⛔ :no_entry:
🙅 :no_good:
📵 :no_mobile_phones:
😶 :no_mouth:
🔞 :no_one_under_eighteen_symbol:
🚷 :no_pedestrians:
🚭 :no_smoking_symbol:
🚭 :no_smoking:
🚱 :non_potable_water_symbol:
🚱 :non-potable_water:
↗ :north_east_arrow:
↖ :north_west_arrow:
👃 :nose:
📔 :notebook_with_decorative_cover:
📓 :notebook:
🎶 :notes:
🔩 :nut_and_bolt:
⭕ :o:
🅾️ :o2:
🌊 :ocean:
🐙 :octopus:
🍢 :oden:
🏢 :office_building:
🏢 :office:
👌 :ok_hand_sign:
👌 :ok_hand:
🆗 :ok:
👴 :older_man:
👵 :older_woman:
🔛 :on_with_exclamation_mark_with_left_right_arrow_above:
🔛 :on:
🚘 :oncoming_automobile:
🚍 :oncoming_bus:
🚔 :oncoming_police_car:
🚖 :oncoming_taxi:
1️⃣ :one:
📖 :open_book:
📂 :open_file_folder:
👐 :open_hands_sign:
👐 :open_hands:
🔓 :open_lock:
📭 :open_mailbox_with_lowered_flag:
📬 :open_mailbox_with_raised_flag:
😮 :open_mouth:
⛎ :ophiuchus:
💿 :optical_disc:
📙 :orange_book:
📤 :outbox_tray:
🐂 :ox:
📦 :package:
📄 :page_facing_up:
📃 :page_with_curl:
📟 :pager:
🌴 :palm_tree:
🐼 :panda_face:
📎 :paperclip:
🅿️ :parking:
〽 :part_alternation_mark:
〽️ :part_alternation_mark:
⛅ :partly_sunny:
🎉 :party_popper:
🛂 :passport_control:
🐾 :paw_prints:
🍑 :peach:
🍐 :pear:
🚶 :pedestrian:
✏ :pencil:
📝 :pencil:
✏️ :pencil2:
🐧 :penguin:
😔 :pensive_face:
😔 :pensive:
🎭 :performing_arts:
😣 :persevere:
😣 :persevering_face:
🙇 :person_bowing_deeply:
🙍 :person_frowning:
🙌 :person_raising_both_hands_in_celebration:
👱 :person_with_blond_hair:
🙏 :person_with_folded_hands:
🙎 :person_with_pouting_face:
💻 :personal_computer:
☎️ :phone:
🐷 :pig_face:
🐽 :pig_nose:
🐖 :pig:
🐷 :pig:
🐖 :pig2:
💩 :pile_of_poo:
💊 :pill:
🎍 :pine_decoration:
🍍 :pineapple:
♓ :pisces:
🔫 :pistol:
🍕 :pizza:
🃏 :playing_card_black_joker:
👇 :point_down:
👈 :point_left:
👉 :point_right:
👆 :point_up_2:
☝️ :point_up:
🚓 :police_car:
🚨 :police_cars_revolving_light:
👮 :police_officer:
🐩 :poodle:
💩 :poop:
🏣 :post_office:
📯 :postal_horn:
📮 :postbox:
🍲 :pot_of_food:
🚰 :potable_water_symbol:
🚰 :potable_water:
👝 :pouch:
🍗 :poultry_leg:
💷 :pound:
😾 :pouting_cat_face:
😾 :pouting_cat:
😡 :pouting_face:
🙏 :pray:
👸 :princess:
📢 :public_address_loudspeaker:
👊 :punch:
💜 :purple_heart:
👛 :purse:
📌 :pushpin:
🚮 :put_litter_in_its_place_symbol:
🚮 :put_litter_in_its_place:
❓ :question:
🐰 :rabbit_face:
🐇 :rabbit:
🐰 :rabbit:
🐇 :rabbit2:
🐎 :racehorse:
🔘 :radio_button:
📻 :radio:
😡 :rage:
🚃 :railway_car:
🌈 :rainbow:
✊ :raised_fist:
✋ :raised_hand:
🙌 :raised_hands:
🙋 :raising_hand:
🐏 :ram:
🍜 :ramen:
🐀 :rat:
🚙 :recreational_vehicle:
